entry_variant,signal_i,signal_time,entry_i,entry_time,direction,context,context_ok,late_entry_block,late_reason,chop_block,chop_reason,blocked,block_reason,distance_to_ema27_atr,move5_atr,scope,executed,skip_reason
ENTRY_A,305,2023-08-20 20:00:00,306,2023-08-21 00:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,False,,True,LATE_ENTRY_BLOCK,0.007750478401475004,-0.9551166965888769,DEVELOPMENT,False,LATE_ENTRY_BLOCK
ENTRY_A,307,2023-08-21 04:00:00,308,2023-08-21 08:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,True,DIRECTION_CHANGES_LAST10,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,0.6879127598721625,0.13539651837524214,DEVELOPMENT,False,LATE_ENTRY_BLOCK|CHOP_BLOCK
ENTRY_A,346,2023-08-27 16:00:00,347,2023-08-27 20:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,False,,True,LATE_ENTRY_BLOCK,0.06826686444991752,-0.6000000000000019,DEVELOPMENT,False,LATE_ENTRY_BLOCK
ENTRY_A,348,2023-08-28 00:00:00,349,2023-08-28 04:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,False,,True,LATE_ENTRY_BLOCK,0.7718537697303202,1.0944625407166222,DEVELOPMENT,False,LATE_ENTRY_BLOCK
ENTRY_A,369,2023-08-31 12:00:00,370,2023-08-31 16:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,True,PRICE_EMA27_CROSSES_LAST10,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,1.0742404604585603,0.9462068965517149,DEVELOPMENT,False,LATE_ENTRY_BLOCK|CHOP_BLOCK
ENTRY_A,391,2023-09-04 04:00:00,392,2023-09-04 08:00:00,SHORT,SHORT_CONTEXT,True,False,,False,,False,,0.17712615619722366,-0.9698795180723057,DEVELOPMENT,True,
ENTRY_A,400,2023-09-05 16:00:00,401,2023-09-05 20:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,False,,True,LATE_ENTRY_BLOCK,0.1087910221855556,-0.20437956204379382,DEVELOPMENT,False,LATE_ENTRY_BLOCK
ENTRY_A,403,2023-09-06 04:00:00,404,2023-09-06 08:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,False,,True,LATE_ENTRY_BLOCK,0.44343693095974007,0.4803921568627532,DEVELOPMENT,False,LATE_ENTRY_BLOCK
ENTRY_A,409,2023-09-07 04:00:00,410,2023-09-07 08:00:00,SHORT,SHORT_CONTEXT,True,False,,True,DIRECTION_CHANGES_LAST10,True,CHOP_BLOCK,0.05368073233747512,-0.31343283582090087,DEVELOPMENT,False,CHOP_BLOCK
ENTRY_A,416,2023-09-08 08:00:00,417,2023-09-08 12:00:00,SHORT,SHORT_CONTEXT,True,True,IMPULSE_BAR,False,,True,LATE_ENTRY_BLOCK,0.8870003131682308,0.37500000000001116,DEVELOPMENT,False,LATE_ENTRY_BLOCK
