section_id,episode_id,recovery_attempt_id,recovery_effective_open_time,recovery_detection_open_time,recovery_class,recovery_strength_score,price_separation_component,fast_acceleration_component,gap_expansion_component,alignment_persistence_component,structural_clearance_component,price_persistence_component,price_extension_atr,ema27_speed_atr_3,ema_gap_speed_atr_3,conflict_ceiling_before_bar,structural_clearance,clearance_atr,probation_bars_required,probation_start_open_time,probation_end_open_time,probation_bars_available,recovery_status,recovery_failure_open_time,recovery_failure_reason,diagnostic_upgrade_score,effective_exit_open_time,exit_confirmation_open_time,detection_open_time,final_status
LC001,EP001,R001,2023-11-01 16:00:00,2023-11-02 00:00:00,STRONG_RECOVERY,5,True,True,True,True,True,False,2.2537497795651635,0.42410702560525887,0.25683687614622774,0.3087,True,0.16594427140273124,6,2023-11-02 04:00:00,2023-11-03 00:00:00,6,CONFIRMED_STRONG_RECOVERY,,,6,2023-11-01 16:00:00,2023-11-03 00:00:00,2023-11-02 00:00:00,CONFIRMED_STRONG_RECOVERY
LC002,EP001,R001,2023-11-15 16:00:00,2023-11-16 00:00:00,STRONG_RECOVERY,5,True,True,True,True,False,True,1.0785508846421772,0.20977161475879919,0.05144816092404223,0.3885,False,-0.6380811580554873,6,2023-11-16 04:00:00,2023-11-17 00:00:00,6,FAILED_STRONG_RECOVERY,2023-11-16 20:00:00,CORE_TRIGGER,6,,,2023-11-16 00:00:00,FAILED_STRONG_RECOVERY
LC002,EP002,R002,2023-11-19 12:00:00,2023-11-19 20:00:00,STRONG_RECOVERY,5,True,True,True,True,False,True,1.1432516920148272,0.22572517231939276,0.07301554277096792,0.4095,False,-2.5569231037520987,6,2023-11-20 00:00:00,2023-11-20 20:00:00,6,CONFIRMED_STRONG_RECOVERY,,,5,2023-11-19 12:00:00,2023-11-20 20:00:00,2023-11-19 20:00:00,CONFIRMED_STRONG_RECOVERY
LC003,EP001,R001,2023-11-22 20:00:00,2023-11-23 08:00:00,MODERATE_RECOVERY,4,False,True,True,True,False,True,0.6763271349233958,0.1343928510082045,0.0029505710989226265,0.3899,False,-0.7576316057961855,12,2023-11-23 12:00:00,2023-11-25 08:00:00,12,FAILED_MODERATE_RECOVERY,2023-11-25 08:00:00,ADAPTIVE_RECOVERY_THRESHOLDS_NOT_MET,5,,,2023-11-23 08:00:00,FAILED_MODERATE_RECOVERY
LC003,EP002,R002,2023-11-25 12:00:00,2023-11-25 20:00:00,STRONG_RECOVERY,5,True,True,True,True,False,True,1.1272245135795598,0.28025560116329135,0.08903969599424101,0.3977,False,-0.48198637234079716,6,2023-11-26 00:00:00,2023-11-26 20:00:00,6,FAILED_STRONG_RECOVERY,2023-11-26 16:00:00,CORE_TRIGGER,5,,,2023-11-25 20:00:00,FAILED_STRONG_RECOVERY
LC003,EP003,R003,2023-12-01 16:00:00,2023-12-02 04:00:00,STRONG_RECOVERY,5,True,True,True,True,False,True,0.8702675707871557,0.18222743287599952,0.020789857589167154,0.3977,False,-2.1783352278908397,6,2023-12-02 08:00:00,2023-12-03 04:00:00,6,CONFIRMED_STRONG_RECOVERY,,,5,2023-12-01 16:00:00,2023-12-03 04:00:00,2023-12-02 04:00:00,CONFIRMED_STRONG_RECOVERY
LC004,EP001,R001,2023-12-12 04:00:00,2023-12-12 12:00:00,STRONG_RECOVERY,5,True,True,True,True,False,True,1.052511791408537,0.3181865586552324,0.13565760277625366,0.6075,False,-0.8987372800381643,6,2023-12-12 16:00:00,2023-12-13 12:00:00,6,FAILED_STRONG_RECOVERY,2023-12-13 12:00:00,ADAPTIVE_RECOVERY_THRESHOLDS_NOT_MET,5,,,2023-12-12 12:00:00,FAILED_STRONG_RECOVERY
LC004,EP002,R002,2023-12-13 12:00:00,2023-12-14 00:00:00,STRONG_RECOVERY,5,True,True,True,True,False,True,2.325110549882689,0.5773548640543389,0.37150658581688994,0.6788,False,-0.6947352735308904,6,2023-12-14 04:00:00,2023-12-15 00:00:00,6,CONFIRMED_STRONG_RECOVERY,,,5,2023-12-13 12:00:00,2023-12-15 00:00:00,2023-12-14 00:00:00,CONFIRMED_STRONG_RECOVERY
LC005,EP001,R001,2023-12-21 08:00:00,2023-12-21 20:00:00,STRONG_RECOVERY,5,True,True,True,True,False,True,1.8555583242161107,0.2263995765407538,0.047404261294530244,0.6426,False,-0.38092859201491713,6,2023-12-22 00:00:00,2023-12-22 20:00:00,6,CONFIRMED_STRONG_RECOVERY,,,5,2023-12-21 08:00:00,2023-12-22 20:00:00,2023-12-21 20:00:00,CONFIRMED_STRONG_RECOVERY
LC006,EP001,R001,2023-12-27 12:00:00,2023-12-27 20:00:00,STRONG_RECOVERY,4,True,True,True,True,False,False,1.1384636351632702,0.24380718283849565,0.09030334890803307,0.6395,False,-0.3192793805304436,6,2023-12-28 00:00:00,2023-12-28 20:00:00,6,FAILED_STRONG_RECOVERY,2023-12-28 20:00:00,CORE_TRIGGER,6,,,2023-12-27 20:00:00,FAILED_STRONG_RECOVERY
LC006,EP002,R002,2024-01-01 16:00:00,2024-01-02 00:00:00,STRONG_RECOVERY,4,True,True,True,True,False,False,1.485069279076781,0.26131123095184666,0.10657362559898897,0.6769,False,-3.4218435895030765,6,2024-01-02 04:00:00,2024-01-03 00:00:00,6,FAILED_STRONG_RECOVERY,2024-01-02 20:00:00,CORE_TRIGGER,5,,,2024-01-02 00:00:00,FAILED_STRONG_RECOVERY
