detector,blocked_move_id,blocked_time,blocked_reason,rejected,nearby_causal_entries
START_A,M01,2023-11-18 08:00:00,MATURE_MOVE,True,0
START_A,M01,2023-12-01 00:00:00,TOO_LATE,True,0
START_A,M01,2023-12-08 20:00:00,EXHAUSTION,True,0
START_A,M02,2024-01-03 00:00:00,MATURE_MOVE,True,0
START_A,M02,2024-01-05 12:00:00,TOO_LATE,True,0
START_A,M02,2024-01-07 00:00:00,EXHAUSTION,False,1
START_A,M03,2024-01-09 20:00:00,MATURE_MOVE,False,1
START_A,M03,2024-01-10 16:00:00,TOO_LATE,True,0
START_A,M03,2024-01-11 04:00:00,EXHAUSTION,True,0
START_A,M04,2024-02-13 08:00:00,MATURE_MOVE,True,0
START_A,M04,2024-02-15 16:00:00,TOO_LATE,True,0
START_A,M04,2024-02-17 08:00:00,EXHAUSTION,True,0
START_A,M05,2024-03-05 12:00:00,MATURE_MOVE,True,0
START_A,M05,2024-03-09 20:00:00,TOO_LATE,False,1
START_A,M05,2024-03-12 16:00:00,EXHAUSTION,False,2
START_A,M06,2024-03-17 08:00:00,MATURE_MOVE,True,0
START_A,M06,2024-03-18 16:00:00,TOO_LATE,True,0
START_A,M06,2024-03-19 08:00:00,EXHAUSTION,True,0
START_A,M07,2024-04-13 12:00:00,MATURE_MOVE,True,0
START_A,M07,2024-04-15 12:00:00,TOO_LATE,True,0
START_A,M07,2024-04-16 16:00:00,EXHAUSTION,True,0
START_A,M08,2024-06-08 20:00:00,MATURE_MOVE,False,1
START_A,M08,2024-06-16 16:00:00,TOO_LATE,True,0
START_A,M08,2024-06-21 12:00:00,EXHAUSTION,True,0
START_A,M09,2024-07-11 00:00:00,MATURE_MOVE,True,0
START_A,M09,2024-07-13 08:00:00,TOO_LATE,True,0
START_A,M09,2024-07-15 00:00:00,EXHAUSTION,True,0
START_A,M10,2024-07-27 00:00:00,MATURE_MOVE,True,0
START_A,M10,2024-07-31 16:00:00,TOO_LATE,True,0
START_A,M10,2024-08-03 12:00:00,EXHAUSTION,True,0
START_A,M11,2024-11-16 00:00:00,MATURE_MOVE,True,0
START_A,M11,2024-11-24 08:00:00,TOO_LATE,True,0
START_A,M11,2024-11-29 16:00:00,EXHAUSTION,True,0
START_A,M12,2024-12-12 08:00:00,MATURE_MOVE,False,1
START_A,M12,2024-12-16 08:00:00,TOO_LATE,True,0
START_A,M12,2024-12-18 20:00:00,EXHAUSTION,True,0
START_B,M01,2023-11-18 08:00:00,MATURE_MOVE,True,0
START_B,M01,2023-12-01 00:00:00,TOO_LATE,True,0
START_B,M01,2023-12-08 20:00:00,EXHAUSTION,True,0
START_B,M02,2024-01-03 00:00:00,MATURE_MOVE,True,0
START_B,M02,2024-01-05 12:00:00,TOO_LATE,True,0
START_B,M02,2024-01-07 00:00:00,EXHAUSTION,True,0
START_B,M03,2024-01-09 20:00:00,MATURE_MOVE,True,0
START_B,M03,2024-01-10 16:00:00,TOO_LATE,True,0
START_B,M03,2024-01-11 04:00:00,EXHAUSTION,True,0
START_B,M04,2024-02-13 08:00:00,MATURE_MOVE,True,0
START_B,M04,2024-02-15 16:00:00,TOO_LATE,True,0
START_B,M04,2024-02-17 08:00:00,EXHAUSTION,True,0
START_B,M05,2024-03-05 12:00:00,MATURE_MOVE,True,0
START_B,M05,2024-03-09 20:00:00,TOO_LATE,True,0
START_B,M05,2024-03-12 16:00:00,EXHAUSTION,True,0
START_B,M06,2024-03-17 08:00:00,MATURE_MOVE,True,0
START_B,M06,2024-03-18 16:00:00,TOO_LATE,True,0
START_B,M06,2024-03-19 08:00:00,EXHAUSTION,True,0
START_B,M07,2024-04-13 12:00:00,MATURE_MOVE,True,0
START_B,M07,2024-04-15 12:00:00,TOO_LATE,True,0
START_B,M07,2024-04-16 16:00:00,EXHAUSTION,True,0
START_B,M08,2024-06-08 20:00:00,MATURE_MOVE,True,0
START_B,M08,2024-06-16 16:00:00,TOO_LATE,True,0
START_B,M08,2024-06-21 12:00:00,EXHAUSTION,True,0
START_B,M09,2024-07-11 00:00:00,MATURE_MOVE,True,0
START_B,M09,2024-07-13 08:00:00,TOO_LATE,True,0
START_B,M09,2024-07-15 00:00:00,EXHAUSTION,True,0
START_B,M10,2024-07-27 00:00:00,MATURE_MOVE,True,0
START_B,M10,2024-07-31 16:00:00,TOO_LATE,True,0
START_B,M10,2024-08-03 12:00:00,EXHAUSTION,True,0
START_B,M11,2024-11-16 00:00:00,MATURE_MOVE,True,0
START_B,M11,2024-11-24 08:00:00,TOO_LATE,False,1
START_B,M11,2024-11-29 16:00:00,EXHAUSTION,True,0
START_B,M12,2024-12-12 08:00:00,MATURE_MOVE,True,0
START_B,M12,2024-12-16 08:00:00,TOO_LATE,True,0
START_B,M12,2024-12-18 20:00:00,EXHAUSTION,True,0
START_C,M01,2023-11-18 08:00:00,MATURE_MOVE,True,0
START_C,M01,2023-12-01 00:00:00,TOO_LATE,True,0
START_C,M01,2023-12-08 20:00:00,EXHAUSTION,True,0
START_C,M02,2024-01-03 00:00:00,MATURE_MOVE,True,0
START_C,M02,2024-01-05 12:00:00,TOO_LATE,True,0
START_C,M02,2024-01-07 00:00:00,EXHAUSTION,True,0
START_C,M03,2024-01-09 20:00:00,MATURE_MOVE,False,1
START_C,M03,2024-01-10 16:00:00,TOO_LATE,True,0
START_C,M03,2024-01-11 04:00:00,EXHAUSTION,True,0
START_C,M04,2024-02-13 08:00:00,MATURE_MOVE,True,0
START_C,M04,2024-02-15 16:00:00,TOO_LATE,True,0
START_C,M04,2024-02-17 08:00:00,EXHAUSTION,True,0
START_C,M05,2024-03-05 12:00:00,MATURE_MOVE,True,0
START_C,M05,2024-03-09 20:00:00,TOO_LATE,True,0
START_C,M05,2024-03-12 16:00:00,EXHAUSTION,True,0
START_C,M06,2024-03-17 08:00:00,MATURE_MOVE,True,0
START_C,M06,2024-03-18 16:00:00,TOO_LATE,True,0
START_C,M06,2024-03-19 08:00:00,EXHAUSTION,True,0
START_C,M07,2024-04-13 12:00:00,MATURE_MOVE,True,0
START_C,M07,2024-04-15 12:00:00,TOO_LATE,True,0
START_C,M07,2024-04-16 16:00:00,EXHAUSTION,True,0
START_C,M08,2024-06-08 20:00:00,MATURE_MOVE,True,0
START_C,M08,2024-06-16 16:00:00,TOO_LATE,True,0
START_C,M08,2024-06-21 12:00:00,EXHAUSTION,True,0
START_C,M09,2024-07-11 00:00:00,MATURE_MOVE,True,0
START_C,M09,2024-07-13 08:00:00,TOO_LATE,True,0
START_C,M09,2024-07-15 00:00:00,EXHAUSTION,True,0
START_C,M10,2024-07-27 00:00:00,MATURE_MOVE,True,0
START_C,M10,2024-07-31 16:00:00,TOO_LATE,True,0
START_C,M10,2024-08-03 12:00:00,EXHAUSTION,True,0
START_C,M11,2024-11-16 00:00:00,MATURE_MOVE,True,0
START_C,M11,2024-11-24 08:00:00,TOO_LATE,True,0
START_C,M11,2024-11-29 16:00:00,EXHAUSTION,True,0
START_C,M12,2024-12-12 08:00:00,MATURE_MOVE,True,0
START_C,M12,2024-12-16 08:00:00,TOO_LATE,True,0
START_C,M12,2024-12-18 20:00:00,EXHAUSTION,True,0
