review_id,type,start_time,end_time,state_4h,state_1h,scale_relation,ema27_4h,ema200_4h,ema200_slope_4h,ema_distance_change_4h,episode_duration_1h
VR001,TYPE_A,2023-08-01 02:00:00,2023-08-03 18:59:59.999,UP_STABLE,DOWN_EXPANDING,LOWER_OPPOSES_PARENT,0.3110921610095102,0.30483801647888287,0.025175685208949267,-0.1226209352733747,65
VR002,TYPE_A,2024-01-14 00:00:00,2024-01-14 10:59:59.999,UP_STABLE,DOWN_EXPANDING,LOWER_OPPOSES_PARENT,0.5516008755386923,0.5508274050060603,0.010444218862011117,-0.30346436176632985,11
VR003,TYPE_B,2023-07-25 03:00:00,2023-07-27 23:59:59.999,UP_WEAKENING,DOWN_EXPANDING,LOWER_OPPOSES_PARENT,0.3114568101167652,0.30246351709308755,0.034042677117175166,-1.1637784238648812,69
VR004,TYPE_B,2023-08-03 19:00:00,2023-08-04 02:59:59.999,TRANSITION,DOWN_EXPANDING,PARENT_TRANSITION,0.30393828229467434,0.3044350978811128,0.0016112077529634172,-1.150889966841773,8
VR005,TYPE_B,2023-10-08 06:00:00,2023-10-08 10:59:59.999,UP_WEAKENING,TRANSITION,LOWER_TRANSITION,0.2599945591878462,0.25633264859843397,0.01683741222382277,-0.3749708838664141,5
VR006,TYPE_B,2023-11-14 09:00:00,2023-11-14 18:59:59.999,UP_WEAKENING,TRANSITION,LOWER_TRANSITION,0.3712368973663045,0.315538847829382,0.2309667939368191,-2.3513074777868717,10
VR007,TYPE_B,2023-12-01 22:00:00,2023-12-01 23:59:59.999,UP_WEAKENING,TRANSITION,LOWER_TRANSITION,0.38094023724672116,0.3573044409112518,0.07407483179932561,-0.47586991385181054,2
VR008,TYPE_B,2024-01-02 00:00:00,2024-01-02 01:59:59.999,UP_WEAKENING,TRANSITION,LOWER_TRANSITION,0.6083732977635693,0.5539044229268525,0.10882682643885792,-0.6202443579448289,2
VR009,TYPE_B,2024-02-21 21:00:00,2024-02-22 00:59:59.999,UP_WEAKENING,TRANSITION,LOWER_TRANSITION,0.6062076740497916,0.552027901043191,0.13552309533032175,-1.596619190286427,4
VR010,TYPE_B,2024-03-06 14:00:00,2024-03-06 18:59:59.999,UP_WEAKENING,TRANSITION,LOWER_TRANSITION,0.7238518937169204,0.6190379841687517,0.23055574274045512,-2.645370995387278,5
VR011,MIRROR_DOWN,2023-08-09 12:00:00,2023-08-11 02:59:59.999,DOWN_WEAKENING,UP_EXPANDING,LOWER_OPPOSES_PARENT,0.2952395842773993,0.30132389823833156,-0.027808566226002196,0.5777480042192811,39
VR012,MIRROR_DOWN,2023-09-15 05:00:00,2023-09-15 13:59:59.999,DOWN_WEAKENING,UP_EXPANDING,LOWER_OPPOSES_PARENT,0.2492320698501612,0.26291422785368435,-0.0658946322682541,0.6531876281605422,9
VR013,MIRROR_DOWN,2023-10-16 14:00:00,2023-10-17 15:59:59.999,DOWN_WEAKENING,UP_EXPANDING,LOWER_OPPOSES_PARENT,0.24806408958410903,0.25326317079393257,-0.028082615790291088,0.32933677144563456,26
VR014,MIRROR_DOWN,2024-01-11 08:00:00,2024-01-12 10:59:59.999,DOWN_WEAKENING,UP_EXPANDING,LOWER_OPPOSES_PARENT,0.5318623551011266,0.5484137563209625,-0.05474712835567228,1.6342377065681548,27
VR015,MIRROR_DOWN,2024-02-02 08:00:00,2024-02-04 20:59:59.999,DOWN_STABLE,UP_EXPANDING,LOWER_OPPOSES_PARENT,0.5025686101111305,0.5163929299808149,-0.017336809256495354,0.11809697337190084,61
VR016,MIRROR_DOWN,2024-03-25 17:00:00,2024-03-27 20:59:59.999,DOWN_WEAKENING,UP_EXPANDING,LOWER_OPPOSES_PARENT,0.6374960406027899,0.6583328982573926,-0.04358504436876946,0.8598745298351367,52
VR017,ALIGNED_UP,2023-07-28 19:00:00,2023-08-01 00:59:59.999,UP_STABLE,UP_EXPANDING,ALIGNED_UP,0.3086317781071774,0.30334424301431895,0.01262987843070884,0.07059461411490542,78
VR018,ALIGNED_UP,2023-10-02 11:00:00,2023-10-08 05:59:59.999,UP_EXPANDING,UP_EXPANDING,ALIGNED_UP,0.2559686210805595,0.2547111445422947,0.004041679507239363,1.6351086319306276,139
VR019,ALIGNED_UP,2023-11-15 19:00:00,2023-11-17 21:59:59.999,UP_WEAKENING,UP_EXPANDING,ALIGNED_UP,0.3676814999820167,0.31960855151489753,0.18669378368277129,-1.2310797361742782,51
VR020,ALIGNED_UP,2023-12-02 00:00:00,2023-12-18 06:59:59.999,UP_WEAKENING,UP_EXPANDING,ALIGNED_UP,0.38118736315766966,0.3575740484643737,0.07407309291732797,-0.3226259543039456,391
VR021,ALIGNED_DOWN,2023-08-04 03:00:00,2023-08-09 07:59:59.999,DOWN_EXPANDING,DOWN_EXPANDING,ALIGNED_DOWN,0.30244984544795905,0.304210735159772,-0.004421141447299992,-1.21827571160022,125
VR022,ALIGNED_DOWN,2023-09-15 21:00:00,2023-09-16 10:59:59.999,DOWN_WEAKENING,DOWN_EXPANDING,ALIGNED_DOWN,0.24913957327651118,0.26236710533949825,-0.05963063176504385,0.45321619520267564,14
VR023,ALIGNED_DOWN,2023-10-10 19:00:00,2023-10-16 11:59:59.999,DOWN_EXPANDING,DOWN_EXPANDING,ALIGNED_DOWN,0.25462848707683367,0.2558539058896301,-0.0029835762198957934,-0.8654717041162165,137
VR024,ALIGNED_DOWN,2024-01-06 23:00:00,2024-01-11 04:59:59.999,DOWN_EXPANDING,DOWN_STABLE,ALIGNED_DOWN,0.5538153116027313,0.5563569074471649,-0.010138450727902037,-2.674707030660055,102
VR025,PARENT_TRANSITION,2023-08-03 19:00:00,2023-08-04 02:59:59.999,TRANSITION,DOWN_EXPANDING,PARENT_TRANSITION,0.30393828229467434,0.3044350978811128,0.0016112077529634172,-1.150889966841773,8
VR026,PARENT_TRANSITION,2023-10-02 07:00:00,2023-10-02 10:59:59.999,TRANSITION,UP_EXPANDING,PARENT_TRANSITION,0.25512005347137173,0.25458763845729265,0.000741392403402763,1.6512802277882952,4
VR027,PARENT_TRANSITION,2024-01-06 15:00:00,2024-01-06 22:59:59.999,TRANSITION,DOWN_EXPANDING,PARENT_TRANSITION,0.558840243042221,0.5570438629775236,0.00285662609707249,-2.8293670791979193,8
VR028,PARENT_TRANSITION,2024-02-09 11:00:00,2024-02-10 02:59:59.999,TRANSITION,UP_EXPANDING,PARENT_TRANSITION,0.5137022876840895,0.5136111532551462,-0.012680976378911154,2.046187121442054,16
